usuario,comentario
El mayimberoo✌️😎,ida y uelta ??
Uziel_2014,Chelsea 2 4 psg
hehe Ha 😂,chelsea vs psg🥰
Gien Jacob,Real Madrid all the way 💪💪
🚨ফরহাদ ভাই 🤟🏽🗿,চেলসির খেলা কবে🤔
🍀💰,Querem aprender?💸🤔(story)
☜☆☞┌∩┐(◣_◢)┌∩┐,3:2 PSG Vin
🇧🇷MALOKA🇧🇷,Tou torcendo pro fluminense e Real madrid campeão
yoshualopez355,apostamo??
Eliecer R Melendez,eso era penal lo que pasa es que no querian dejar en verguensa a los europeos
alexanderambroc67,JOÃO PEDRO CON LA REALIDAD ALTERADA 💯
franzottinehueen,levanta las manos para no festejar 🫂
luhana17g,y todavia di en madrid ybarcelona chelsea a ganafo todos las copas
user4293523873418,verdad no kisoeron dejar en berguensa alos europeos
leonel palacios,cómo pierde calidad el gol por el relato imagínate si lo relata closs uffff
Johan Garcia,Equipito No le gana la final ni al Madrid ni al PSG. solo eso.
Rodrixk,y el penal que no cobraron
Just me,“Sobre la linea” ( esta a 1 metro de distancia)
isaias🔟,see penal clarisimo
ADAGGIO BARBER SHOP,Otro equipo que no es de mucha $$$ se la aplicaron igual que al Monterrey la FIFA es puerto interés $$$$ lo deportivo sale sobrando 😡
CORABASTOS BÁSCULA,Para ganar un partido de estos toca así con goles espectaculares yo quería q ganara fluu pero esto es futbol
Jesús,tan fáciles los goles se han vendido los brasucos y al mismo tiempo han vendido a su gente
GregoryOma,madre de GOLLL EL SEGUNDO DEL CHELSEA
Claudia Quimpe Adria,clarisimo era penal
Jorge Reyes Alvarado,era penal
Elmer Cajma,un robo total
Jesús,este partido ya estaba negociado
tuiterosincero ⭐️⭐️⭐️,la inexorable 😔😳
luis franco,money money
Percy Soto Rivera,el mejor del Chelsea el resto es un pedo
Jesús Sánchez,Que Gran Robo eso. era. penal
Horus2822,cómo le robaron con ese penal al Fluminense
Neyis chula 2010,Para que la cuña apriete ….
mosito,eso es ser sin vergüenza
Franktuchicofiel,le robaron el penal a Fluminense
mariooviedo578,no hay otro q relate jaja orrible
alvingarcia942,saludossss y si es el partido del año
Harvey🌟SP19,Q paso con Pe pe pe peeessssmii 😂😂
maarti_agzzz,"la pachanga d este torneo, el partido del año jajajajaja"
filemon,donde lo pasan en directo
José luis Suin,"no amigo, el partido del Año es Chelsea VS PSG"
Arenas..,disque el partido del año (mínimo le meten 4 al Madrid )
Cristhian CR7,hubiera sido excelente que este partido sea la final
️,primero
Aguss Moyano,saludaaaa ⚽
kevin,3-0
alvingarcia942,y primer like
alvingarcia942,primero 🥇
YT TUN TUN SAHUR,primero
Jaime Serge,second
Jaime Serge,first
KGR,Quien más viene del video de la niña con patín 🤣🤣🤣
Flako Garcia,"Toda la culpa del portero y ni amarilla le sacaron, en ningún momento el portero sale a jugar el balón, va por el jugador"
cr7😼😼😼😼❤️,se disloco
ERNESTO FLORES,ESGUINCE PERO EL PORTERO NO ES CULPABLE🥰🥰🥰
💀XCiprianox💀,Primero Diego jota ahora musiala
Godrick,porfa que no se acabe su carrera
Jadhira,en el tiempo de mi abuela le agarra un buen movimiento tobillo a su lugar no tenían q dejarlo esperar q se emfrie
elgritodel90,Síguenos en Instagram: @elgritodel90
JoseFCB,es penal completamente per eso no importa lo importante es como esta y si va jugar de nuevo
DayannaGuz,yo jajaja
Fredy,Ya le arruinaron la carrera 🤷🏻‍♂️
eldany,yo
kethiazk,Il se sent coupable le gardien 😭😭
Hi,これは…辛い。
vikito,la final sera fluminense vs real madrid cuanto quieres perder
jhon##,algo me dice que le regalan el titulo al real madin
Rolando,hala madrid le duela a quien le duela
Yetssy Pinzon,Hala Madrid gane o pierda por 💯 el mejor de Europa y el mundo
🐧,el mejor de europa actualmente???🤣🤣🤣🤣
Franklin España,Fluminense a la final
Perez tax James,😡😡😡 se te olvida quien es el rey
Ricky,Final entre dos Ecuatorianos algo unico yq nadie mas lo va diafrutar q nosotros Ecuatoriano yq gane el mejor xq estara un Ecuatoriano Campeon bravo
jhoncito Elmer,vamos psg 💯
Oscar Molina,hala madrid y nada mas
joen eliezer.,nadie esperaba nada del Chelsea y está que gana el mundial 👀👀👀
Yubi Martinez,Hala Madrid y nada más
💎Alex med👑🎁🇮🇱🇭🇳,simón marsinian.... será el MVP del partido 😂guarde ese comentario 😂😂😂
Ascesor de apuesta deportivas,flu pasa acuerdense de este comentario
Guacharoluis1,el vfluminence es el campeón
Isabel Barrera,bamos A LA MADRID
user1225392722855,a la Madrid
Roberto de la O',final real madrid fulminense
diegoalexanders76,"Fluminense vs resto del mundo no se puede predecir en el futbol no hay lógica,solo sopresa"
locoto,Fluminense en la final
Amilcar Perez,SIIIIIIIIU EL REAL MADRID UN TITULO AL ESCAPARATE👍
Arquitecto Costilla,final Chelsea vs PSG
Roberto Apaza Calla,jajajaja a lo inventores del fútbol BRAZIL y esto que van sin gente veremos ...
Cruz Lara,mi amigo tú pronóstico está mal el ganador será el Real Madrid
Luis EdgardoHeredia,no sirves para pronóstico el Real Madrid le gana al PSG 3 a 1p
panama,vamos mi Madrid
Efra,"se que la última vez no le atinaste a nada, pero confío que está vez no decepcionaras y tampoco acertarás. final, Madrid-Fluminense"
user8107917092758,ganara real madrid
Avila,Hala Madrid y nada más
Armando Yahuana Calderón,y mañana si puede ser real Madrid 🇪🇸 p
luisroa019,bueno ahí es donde se va a ver no somos favoritos ahí es cuando somos mejores hs la Madrid
Ocampo Marin,les duele q el real sea el mejor de europa deben de ser del barcelona q no asetan q el real es mejor q todos los equipos europeos
@Nolida2020,real madrid campeon
Antonio Hernandéz,gana madri
FELIZ CUMPLE MI AMOR #30🦆🤍🪐,Rel Madrid 4 PSG 3
Kaessar Quezada948,a ninguno pronostico le an atinado😎🤣😂
Luna Santos 🌸,SIRVO PRO JOB? (STORY)🥺
♡♤♧•sergio mota.13•♡♧♤,nada puro sueño el Madrid le gana al psg
nancy@1878,💪💪💪💪💪VAMOS HALA MADRID🔥🔥🔥
Ocampo Marin,si el real bense al paris no hay duda q sera el campeon
Armando Yahuana Calderón,bien 👍 oy es Brasil p
Luis Eduardo CR,el duelo entre PSG y el Real sale el campeón
Fans del Real madrid,Hala madrid vamos con todo 💪😎
Cruz Lara,amigo que dice que el PSG es el mejor de Europa es un equipo mediocre
Mayit0🤍,Halaa Madrid
elmere46,el Madrid fuega el miércoles no martes eso esta mal
SOY QUIEN SOY,💪💪💪 Real Madrid 💪💪💪 Campeón
rafael fernandez,yo voy al madrid q gana 3@2
Reybin Alaro,Real Madrid vs Fluminense será la final
user9260334483011r,no se atrevieron a arriesgar y analizar concienzudamente PSG- Real Madrid.
Stalyn🖤,la final Chelsea vs Madrid
Sebas,quieres unirte a una liga fantasy??
freddy lara,hala Madrid
Roberto de la O',"gana real madrid y tres veces campeon, gana balon de oro embape, x unico gol de tigera"
hrlisthjj,vamos Madrid
Low 👑,mira mi historia
locoto,psg ala final
Low 👑,mira mi historia
🐐🦅💯🇬🇹🇵🇹CR7🇵🇹🇬🇹💯🐐,2-0 gano Chelsea
𝑾𝒊𝒍𝒍𝒊𝒂𝒎 𝑬𝒔𝒄𝒐𝒃𝒂𝒓,chelsee vs Real Madrid
Arnoldo Miranda,estas mal pasa el real Madrid ala madrid
Abner,"Viva el campeón de todos los tiempos, Ha La Madrid!!"
Kevin Rojas +505,van a jugar solo🤣
moni,Jaja se equivocó xk ganó México
Crazy,Soy de Honduras Pero Guatemala tiene buen equipo no se dan por bencidos y si le gana a usa Guatemala ba ser el campeon
Axelito,México no participa en mundial d clubes
🦥🧨🦋𝓒𝓪𝓻𝓸𝓵𝓲_𝓖🦋🦖,México Campeón de la copa oro 2025 como les quedó el ojo🤪🤪 MÉXICO 🇲🇽 🏆
⛵️⚓️🇵🇷yangreg_lov3_KEX🇭🇳⚓️,mexico no nesecita predicion se sabe que siempre le regalan el partido a mexico al igual que le regalan las peleas al canelo mexico no sabe jugar limpio
albertosalomonlazcano,Final México vs Portugal 🙈🙈
🇲🇽 el último pistolero 🇬🇹,pero también no hay que darle vitoria a México ni a Estados Unidos todavía por cierto ahí está la sorpresa porque ahí está Guatemala y Honduras todavía ellos no puede dar una sorpresa
hermes perez,si tr fijas uomero tiene la del madrd
jhon mas muy guapo oficial,México
gocho,si los Simpson lo perdieron será
user8107245461241,México vs Canadá final 👊🏻
Alessia,Neeee no creo en eso creo en Dios
user2579344075415,Monterrey Monterrey ✌️✌️
paco®️,Los simpson ya predijeron que mañana trabajo 😂😂
Faber,"Puedes subir ese capítulo por favor, o es falso?"
ElisG-,Ya está que siempre los finalistas son Estados Unidos y México
Látigo92,EN EL MUNDIAL DE CLUBES SERÁ CAMPEÓN EL FLUMINENSE DE BRASIL 🇧🇷 EQUIPO SUDAMERICANO.
Yessenia,yo le boy a usa🥰🥰🥰🙏🙏🙏
Katherine,Saben una cosa sólo Dios sabe quién gana quién va ser el ganador nadie como Dios es más grande
Gabby Galaviz,Mexico y usa en la final😎
aldillo,FLUMINENSE CAMPEÓN
chaparra,👏👏👏ojalá mis equipos favoritos honduras y USA también México porque no?
yony adilson garcia3,hoy veremos a monterrey aver dela profecía
CELESTE. 💨🖤👸,Dios tiene más poder que eso
Geovani Sulugui,esta ya todo areglado
🥀Markitos 🥀🚶🏻,Perdio ya 😂😂😂😂😂
🦬🦬Kelvin Ponce🦬🦬,Si siempre se los lleva Estados Unidos voy con usa
Herberth soto,yo creo que el ganador es el Galaxi..😂
Gabo DC623,Madrid
Jose🇸🇻🇸🇻🇸🇻,Quién gana
antonio.olea385,si perdio Monterey
lilibeol,los Simpson 😂😂😂
Elmer López 502 lobo de mar,tres Doritos tarde 🤣😂🤣
erikahernandez0596,👍Mexico. 👏👌
Nicolás _&Garcia,cómo lo borro 🗣️
Wiliam Tituaña,ya se equivocaron
Gael Enzo Zuna Mendez,"sus adivinansas ya no funcionan, creo que el que adivina ya no adivina nada. varios de sus supuestos predicciones fallo."
Mateo García Gutiérrez,haber si tienen razón porque todo lo que decían de predicción na😂😂😂
User2023,El Real madrid gana el Mundial de clubes
Lewan,Q mas soñaste?
Carmina Rodriguez,Mmmmm están más perdidos ya están perdiendo sus poderes
Pedro Lopez,México ni en los sueños pueden ganar un mundial 😂😂😂😂
Ana Hernández,No manches será sierto ojalá que si☺️
irisp@$,Los simson ya no le atinan a nada
pedritosebas6,Vamos a ver 👍
Aide Vargas,losiento gano México
lucqui,PSG campeón
jarocho,Va a ganar México
Koketa acambarita pg,México 🇲🇽
D ACR HHH,Silo gana creere porque del
Mordecai,jaquemate_simpson: tengo hambre wey 👀
kike,alav copa oro
user272579315292,Como siempre 🥺
francisco diaz,mexico
🫶💚Águila Real 💚🫶,Tamales 🫔 💪💪💪💪
vigas,Monterey ya quedo eliminado todo es mentira
❤️‍🩹Iván_ García🍻🖤🕊️,Los Simpson mela pelan aquí puro Guatemala 😎🇬🇹
Chucho,México va a ganar
Criss cash,lol
Hftffgghgh,Please view my story 💯🤝
chale,fluminense
El tigre,hola 👍👍👍👍
Jibidar Mawuli Porpualar,Pls which game is this
Pineda Jaime,"ese Rudiguer, es un inepto .ya debería irse"
🙌🏻🛐,fortua no sirve
yony811,aposté todo al Fluminense 😌
.Mac.,cuanto a cuánto quedaron
𝑬𝒅𝒘𝒊𝒏 𝒈𝒙𝒛,flu equipo chico ni dio pelea al Chelsea🔥🤏🏼
Andrea,El primer gol es un escandalo total
Uzzi,Solo representan a Brasil no a sudamérica ✍️✍️
Emir,con Chelsea no pudieron hacer nada 😡😡
user26099918599,Soy linda?😜(Historia)
benjha_b,La mano que no cobraron
juliangoat❤️💙,2-0 minutos 80 😪😪
HERBERTH🌃,hasta mis papas aplaudieron en su cuarto
Jorge Morales,chelsia va 1 fluminense 0
⸸ luisito ⸸,cuando ase eso tiros con la selección
:),Perdió pero luchó hasta el final 😞❤️
iomedina,"Chelsea jugo a media caña, se fallaron claras y aún así ganó 😁"
Nicolás,Jhon Arias esta volando.
jafet,primero 🥇
SEBITASSS,"ahora todos se burlan del Flumi porque los eliminaron, pero llegó más lejos que la liga de argentina JAJAJA"
asheeliitoo,"Estaba cagando, y me levanté a aplaudir 👏."
user3993001210910,El corazón quiere q gane flum. Pero el buen apostado sabe que ganara chelsea
luisfernandperez,igualito al que le isieron a flumencie ahorita😂
kelvinyantuche,el primer gol es parecido al de rice
Samuel José Montesinos Rodrígu,donde están los que critican el futbol femenino no los veo ni leo
John Rojas871,Confiooooo en Flu para pasar a ser finalistas del mundial de clubes ✨✨
BetaG,Es un mago infravalorado !
KN07✅,ala bestia Donato también juega fútbol 🥴
Gabriel SG,Arias debería volar para europa 👏🏻 que bueno es el compa
່ 𝓜𝓪𝓽͢͢͢𝓮𝓸,Ahí está Donato
Olise,El peor chelsea de la historia les ganó
Rodryy,Declan rice quien te conoce
Djfranco2.0,brasil. brasil. brasil gracias por representar a América
Kevin Iribe,Te extraño Fernando Palomo
Jhosneiber ♡,ojalá eso lo hiciera en la selección
Los Pro player,dónde entro el balón he uff q pulso
.mEnEsEs.,la mayoria de esos porteros don -111 de GRL ?
🐰:♥️O R L I T O 😻:🐰,Ahora no se vio nada de este equipo 💀🗿🥺
Moy Chillin,Ya valio 😂
Esteban___did0,ah pero en la selección colombiana ni correr quiere 😔😔👍
🦅,vamos chelseaaaaaaaa
yoyito,Caicedo y Enzo ETERNOS PAPAS de Arias y Soteldo🤌
Paul Lopez,Ese ni aparecio antes el chelsea
🧛🏻,Alguien mas piensa como cano llego a ser profesional ?
oscarmorales97631,Que robo le dieron al fluminense
Zaelito🤍,"Claro que tienen un sueño, seguir participando 😂"
LuisAngel16,Y como hoy no hizo nada 🤣🤣🤣
Alan,se achicaron contra Chelsea
Ron Ram,i ante al chelsea se les fue el sueño
jendryck194😎,ese no es Chelsea
FERCC,Tenían 🤣🤣🤣🤣🤣
JH,Tengo una duda el mundial de clubes todavía van a competir por el tercer lugar o aquí no le hace como el mundial
Tacos De Barbacoa,2.0
Emi 📍,gol del Chelsea 😔
Jonathan Pineda Gall,hasta ahí quedó la suerte
brian andres vllv,así solo es un club juega bonito 🤷
carlos diaz,Y en la selección no sabe ni Centrar
mar_carreno,Arias prime
Dolan.,pero hoy Nole pudo pegar así con el chelsi
Edgar A'rb,si así jugara Arias en la Sele ya tendríamos el liderato de las eliminatorias
valen,quedó eliminado🥲☹️
Kevin Ae,hoy pierden contra chelse
Joker_🍁,2-0😅
Esteban ⚡,promero
dannnalvarez,Tenían 😫
Andres,primero
Benja🤷⚽️,11
OSCAR BARBER SHOOP 💈🔫🩸,Acaban de ser eliminados por el Chelsea 2-0 😂😂😂😂
antonio_ph7,0-2 😅
santimonpie26,2-0
Ato madridista,Trust me this team will eliminate Chelsea
Isaa21486,Fluminense 0 : 2 Chelsea
hermisanchez#18,0 chelse 2
Alisson,fluminense entregou o jogo.
UMAR_M_QUALITY,please 🙏 don't forget prayer for diogo Jota and musiala please and please 🙏🙏😭😭 thanks 🙏
Jr👻,Fluminense eliminado 😞
jaden:v,van 0-2 😔
Gloria😍,I'm a favorite! 😍
Mason,First
𝕽𝖞𝖆𝖓𝖓𝖓404.,first
"Efraín C, 15--16","No jugaron a nada hoy, Regalaron el resultado"
Elieser Lopez,Vamos mi real Madrid tu puedes
abelio preciado,yo apoyo el París
Humberto 2.0,bamos paris si lo ganamos 🤗🤗🤗🤗con fe y armunia con DIOS
Mr.ale☆505,yo se q todo los del Barcelona apoyan al real Madrid porque es lo único q pueden aser pero aquí vamos Madrid confiamos en ti y as lo con onor querida leyenda..... hala Madrid💛🤍👑
🔰❤️‍🩹😊masha❤️‍🩹🔰,vamos mi real Madrid 🤍☺️
ANDERSON RODRÍGUEZ,psg campeón
adaluz,vamos. al realmadrid
🩸 Alberto Enrique 🩸🔥🌶️,Hala Madrid🤍🤍🤍✨
walterynodeicalitito502,vamos paris astal final😂😂😂
melani loher,bamos mi real Madrid 😭🥰 campeones
Willian_25,vamos psg 💪
nahomi,bamos madrid te apoyare
Tu Flakito 502,Vamos Real Madrid somos los campeones...
Melany Lopess,vamos..con todo.. MADRIDISTA.
Carlos Ivân De Armas,vamos con todo mi Madrid se q vamos a ganar
@🥷Rainaldo🥷🫡,Vamos mi PSG 🙏
🌽⚔️Diego f🌽⚔️,PSG va ganar
lopezsirin,hala madrid 🇪🇸
carlita,vamos real Madrid tu puedes aserlo
MEIRY 502,Yo apoyo el paris
Julián Álvarez,vamos real Madrid la confianza hasta final
Davinson Chavez el casador,vamos casa blanca 🙏🙏🙏
"""ross🌺""","Vomos ""HALA MADRID 🖤 🤍"", si se puede 🤞🏻🤍🖤"
Yanfret Vigilio Noreña,vamos Real Madrid 💥💯🤛🤛💪💪
Flori De caba,vamos paris si se puede
~KEVIN~✓,vamos .madrid.asi.asi.🙏🙏🙏👍👏
Jhay,vamos psg
Efrain❣️✍️💞,bamos PSG 🇪🇨💪🏆🥇con humildad siempre a dar lo mejor en cancha
karleni,vamos hala madrid🤍🖤🙏🤍
Gomez,vamos mi querrido real madrid 💪💪💪
Misael,hala madrid
Sarahi 3668,vamos con todo mi Realmadril 🥰🥰🥰
DEMOÑO YT ☠️,Real Madrid hasta la muerte 😎 vamos real
jerri rodriguez,vamos real Madrid
Pedro,vamos contodo mi real Madrid
Mar Guti,vamos madril
userdegaspar,Vamos mi real Madrid🥰 siuuu
🍀ALEJANDRO🍀CONTRERAS 🍀,yo apoyo al real Madrid
🌷JHUDITH 🪐,Vamos París tu puedes Oy somos 🙌
Rosi LisletResinos,vamos. mi real. 🤍
Park_Jimin✨,Vamos REAL MADRID⚽🏆❣️
Julián Álvarez,vamos Hala Madrid nada más con todo junto a vencer PSG
ortiz montecinos,bamos paris
jimenez,todos apoyando al madrid vamos mi kerido real madrid si se ba poder
Megía angel❤️😘,vamos mi Madrid tu puedes Madrid
Pablo 🤫,vamos París si se puede
Armando Hernandez García 77299,vamos real Madrid hasta el final🥰
BaBi Hernandez,vamos 💪 💪 💪 💪 💪 mi real madrid 💪
José B H❤️,Bamos Real tu revancha ahora clasificamos y vamos x la 🏆
Gaby Vasquez,vamos con todo mi Real madrid siiuu
motivación†entrenamiento,vamos real Madrid 🥺🤕
J la bebecita Garcia 🥰🥰,Visca barsa
ARIELITO🇧🇴✅️,sin dudas mi psg se lo lleva la victoria omillando ala Madrid
cussi⚽🫶,Apoyo a paris
dani,tu puedes mi real Madrid
Emili,Vamos mi querido REAL MADRID tu puedes a darlo con todo 🥰
Ka2farru,vamos HalaMadrid. y no hay más.👍
⁵⁰⁰Oᥣιvᥱr' FF,Hala Madrid
Cruzito alfredo🇧🇴,la ora de Bolivia xfavor k ora juega 😌
Nicol López,vamos mi Real Madrid 🤍🤍
Aa789191,vamos Real Madrid 💪💪🤍🤍
🥷🖤🇵🇪🖤🥷,vamos PSG
Alexis,Bamos Paris
flaquita 🇬🇹🥰,ala Madrid hasta la muerte 😎😎😎 vamos mí real Madrid 👍👍
Bonilla Alfaro,Hala Madrid y nada más
Fer1#66&,los dos equipos son buenos ese partido va estar bueno 😄😄
EL AGUILA,Como se llama el título de la música del fondo
manuelmesiasvelas6,Psg arriba si miedo 😃
CARLOS MONTIEL 🪖🇨🇴,Ala Madrid
Gloria,Vamos. GSG vamos contodo se que sepuede
LIFT,vamos REAL MADRID 👊🏻🔥 👏🏻
M_I_K_I 💈 BARBER 💈,PSG vamos 💪
꧁☬ʟ-ɢᴀɴɢ☬꧂,hala Madrid y nadamas
Jtdobleaa587,vamos París
Wilson,Estos clasifican por dinero no por capacidad futbolista
Luisito martinez 🥰,bamos rean
Cris Limachi Mamani,vamos París con más fuerza 👍 sabido ya es q le va educar a real Madrid
cesar 2012,va a ser lo mejor pero siempre ALA MADRID no
jema villacis,Paris vamos
❤️ Bbcto🥰,vamos a la Madrid 🤍🤍
🇪🇨𝖂𝖎𝖑𝖘𝖔𝖓'𝕬𝖁 🥷❄️,PSG 3 - 2 Real Madrid ( abra un penal )
MD MOHIN,Semi final ❌ Final ✅ Real madrid vs psg.....
ariel emilio🍀💫💈,prediccion 6-0 gana el psg
Santy,yo viendo los del varsa apoyando al Psg 😂
Luis armando,3-2 favor del madrid
Iker Díaz,"Real Madrid gana 3-2 con goles de García,Arda Güler,Mbappé del psg Dembélé y Doué"
🗿🔥,2-0 en 10 minutos JAJAJA son un meme
Adrián🧠⚡,1 a 0 va ganando psg
ALEX • SBㅤ☂,@ALEX • SBㅤ☂:3 - 0 ganando PSG 💀
Ramy 🥺❤️‍🩹,"El PSG va,destruir ah tu Madrid 😏😏😏"
⁵⁰⁴ A X E L🗿🇭🇳,nos van a ganando 3 a 0
nelso_2025,Dios ayúdame para que gane el real Madrid 🙏🙏🥺🥺
enmanuel,vamos perdiendo 😭😭😭
Jesus David Quintero 🤟🤟🤟🤟,puro hala Madrid hoy ganamos
rudil674,yo apoyo a psg🤝
Ávila 💕,La hora que fuega
Juan 🥷,Soy Del Barsa Pero Hoy Mi Balanza Se Inclina Al Real... Quiero Que Le Bajen Los Humos Al Psg... Ya Que No Le Ha Tocado Con Uno De Los Grandes En Ese Mundial De Clubes 😮‍💨
lucas,vamos real madrid
:)Aruquipa Ξdzon🔋🪽,mrd apenas 15 mnts y ya está 2-0
Noe Carcamo010,Hoy se arrepiente mbappe por dejar al psg
🇧🇴🎶BunnyRONYEHD🐰😎🏍️,q hora juega?
Laura💙,Estoy Buena?(story)💙
TANG DE FRESA,no es hoy es mañana
Alex LB 🥷☠️🚀,hala Madrid 👻👻
Nelson●3,Ya llevan 2 a 0 perdiendo el Real Madrid😔😔
Á𝖗𝖆𝖇𝖊 𝘑𝘔,creo yo que de aquí sale el campeón de el mundial de clubes es mi opinión 😳
user6802031261685,soy de Barca pero voy por el París vamos con todo paros
[Os] Reyes ♡,VENGO DEL AYER REAL MADRID 2 PSG 1
Hayato,Predicciones aqui 👇🏻
Danais Enid👑,PSG 2 - Real Madrid 0 jaja
🖤ㅤ💫Liz❤️‍🔥🇳🇬,vamoj con todo si se puedee Hala Madrid siempre crjo! ☝️👌
flaquito._.504,Ohi los mandril van ah llorar🤨😉💀
jeison ortiz,hoy los golea el PSG campeón de champions 💪
JUANES♤😈😈😈🖤,hala Madrid 👍
zericruz7,q paso con el digno oponente jajajaaj
JOSUÉ_OFICIAL_507,Real gana 3 a 1 🗿
...,gana Real Madrid 3 a 2
platito,va a quedar 3-1 gana el psg
David Mendoza,Puro hala Madrid 👑🫰
ᴶᴱ ᭄𝑱𝒉𝒂𝒄𝒌𝒔𝒐𝒏ᶜᵇ🌹࿐,q hora juega pe
Josué 🫂🇻🇪,soy del barca quienes son del barca digalos en los comentarios
guzman,mañana gana el PSG 💯💯💯
Tik tok es de cristal,Se adelantó la final de la Champions 💀
David nuñez,ganamos los del París 100%
neymar gabriel,gana el PSG de 2 a 0
📿🍀P.DIEGO⁵⁰²📿💸🧿,Psg 5 Real Madrid 0 🗿
𝐇𝐄𝐂𝐓𝐎𝐑 𝐂.𝐐,Vamos psg
JOSHUA💎✨,Para mí que es el mejor partido del mundial de clubes 😮‍💨
jeampierre.10,a qué hora juega?
JOS,Algún fan del Madrid qué apoye mi edit ? 🙃
stuarperz,soy del barca apoyo el real
༒︎✞︎✔︎C҉A҉R҉L҉O҉S҉✔︎✞︎༒︎,Hoy es mi cumpleaños 😀☺
El soñadorj,Apoyando al psg
Danii🫀,"POR FIN, UN DIGNO OPONENTE, ESTA BATALLA SERA LEGENDARIA 🤍❤️💙 QUE GANE EL MEJOR🤝💗"
Anthony,PSG 3 Real madrid 1
usuario de tik tok,va a ganar psg y le voy apostar a el
🇧🇷🇧🇴🏟️Jhonny ⚽⚽,vamos París ustedes pueden ganar a real Madrid aun que mi equipo es Barcelona 😁😁
Richard 4554,mañana gana el PSG 🫶🏼👌🏼
502 puro Guatemala,seguro gana París
RD Kim mc 👊🇵🇾🌵,PSG VA A GANAR 2 X 1 😎
jupar200MTV,le voy 1 k al real madrid🙏
perrito.navideño,en que equipo ba ajugar mbappe?
Ivan acosta,soy del Barcelona pero estaría bien que el real Madrid bajará de la nubes al PSG en el mundial de clubes reivindicándose otrravez
Saldivar 🪶,mbappe ese partidos va estar perro sobre todo cuando ya conoces perfectamente los movimientos de tu ex equipo y viceversa 😵‍💫🤯😮‍💨
Jszx,real Madrid
🤍🖤Morales🖤🤍,vamos ala Madrid 🤍🤍🤍
Fernando,mñn es
angel Martínez🌈☠️☺️,3 a 2 MAdril pierde
Bet..✨️🫂,Van perdiendo 3 a 0 🤣
𝓕𝓻𝓪𝓷𝓬𝓴 😎,Sera un partidasoooo. perooo aunque sea un partido dificil. Lo ganara el PSG mañana. (mañana quiero mis like si logro predecirlo)
eder R* @escorpio,mañana PSG gana al real Madrid
ʘ‿ʘAlexʘ‿ʘ,que hora juega 🤍🫡
jhonnatha,Vamos psg
Degomez@,REAL HASTA LA MUERTE 🤍
Afif_nadzri789,MADRID 3 PSG 1
Anderson 😇,Aposté todo al real vamos 💀
en línea,ala Madrid siuuu 🤍 👍
Joker,Final: Chelsea 3 : 0 Psj jo pedro 9 m jo pedro 56m jo pedro 88 m
Edwin Tomala R,28 minutos paris 3-0😭😭😭😭😭😭
García,PSG 3-0 Real Madrid 😂 primer tiempo
