ComentarioCrudo,ComentarioLimpio
TERCER AÑO consecutivo como la voz... Ver más,TERCER AÑO consecutivo como la voz... Ver más
"#DEPORTES|| 
La FIFA confirmó la suspensión de ‘Pachito’ por dos partidos, lo que le impide regresar a las canchas, incluso si su club supera ... Ver más","La FIFA confirmó la suspensión de Pachito por dos partidos, lo que le impide regresar a las canchas, incluso si su club supera ... Ver más"
"#DEPORTES | 
Con la presencia de Moisés Caicedo, Chelsea derrotó 2-0 al Fluminense y jugará la final del Mundial de Clubes. 
 https://bit.ly/4kuklts","Con la presencia de Moisés Caicedo, Chelsea derrotó 20 al Fluminense y jugará la final del Mundial de Clubes."
Chelsea el Barcecopia de Ecuador con la ayuda del arbitraje cualquiera,Chelsea el Barcecopia de Ecuador con la ayuda del arbitraje cualquiera
Cuándo se juega la final de clubes,Cuándo se juega la final de clubes
"Eddy Santiago
el próximo domingo alas 2pm","Eddy Santiago
el próximo domingo alas 2pm"
Pero no jugó Caicedo estaba expulsado mala información,Pero no jugó Caicedo estaba expulsado mala información
"Juan Freire
El que está mal informado es usted o acaso está confundido con William Pacho","Juan Freire
El que está mal informado es usted o acaso está confundido con William Pacho"
"Juan Freire
si Jugó Juanito, no ha visto el partido !!","Juan Freire
si Jugó Juanito, no ha visto el partido !!"
"Juan Freire
no debería haber jugado peor allí est ala FiFa corrupta con su Infantino
todo arreglado para que Chelsea sea campeón...","Juan Freire
no debería haber jugado peor allí est ala FiFa corrupta con su Infantino
todo arreglado para que Chelsea sea campeón..."
Ojalá mañana pase PSG y haga justicia en la final,Ojalá mañana pase PSG y haga justicia en la final
"Qué caprichosa es la vida… Hace apenas once días celebrabas uno de los momentos más felices: te casabas con el amor de tu vida, rodeado de t... Ver más","Qué caprichosa es la vida Hace apenas once días celebrabas uno de los momentos más felices te casabas con el amor de tu vida, rodeado de t... Ver más"
"#Deportes | ¡Golpe judicial a Ancelotti!: El actual DT de Brasil, es condenado a un año de prisión por evasión tributaria. #LéaloEnET: https://is.gd/tYH87S","¡Golpe judicial a Ancelotti! El actual DT de Brasil, es condenado a un año de prisión por evasión tributaria."
#DEPORTES/POR ZONA DE CANDELA... Ver más,ZONA DE CANDELA... Ver más
"¡A LA FINAL! 
 El Chelsea derrotó al Fluminense con doblete de Joao Pedro y disputará el partido por el título del Mundial de Clubes.",¡A LA FINAL! El Chelsea derrotó al Fluminense con doblete de Joao Pedro y disputará el partido por el título del Mundial de Clubes.
... Ver más,... Ver más
"¡Dos jonrones robados en un mismo juego, pura defensa de élite!","¡Dos jonrones robados en un mismo juego, pura defensa de élite!"
"¡Dos robos, un mismo juego! Tatis Jr. y Merrill apagan fuegos desde el aire","¡Dos robos, un mismo juego! Tatis Jr. y Merrill apagan fuegos desde el aire"
P... Ver más,P... Ver más
"#Deportes | ¡Golpe judicial a Ancelotti!: El actual DT de Brasil, es condenado a un año de prisión por evasión tributaria. #LéaloEnET: https://is.gd/tYH87S","¡Golpe judicial a Ancelotti! El actual DT de Brasil, es condenado a un año de prisión por evasión tributaria."
Toma. Tano,Toma. Tano
Mañoso evasor de impuestos en España,Mañoso evasor de impuestos en España
"Qué caprichosa es la vida… Hace apenas once días celebrabas uno de los momentos más felices: te casabas con el amor de tu vida, rodeado de t... Ver más","Qué caprichosa es la vida Hace apenas once días celebrabas uno de los momentos más felices te casabas con el amor de tu vida, rodeado de t... Ver más"
"#Deportes | ¡Golpe judicial a Ancelotti!: El actual DT de Brasil, es condenado a un año de prisión por evasión tributaria. #LéaloEnET: https://is.gd/tYH87S","¡Golpe judicial a Ancelotti! El actual DT de Brasil, es condenado a un año de prisión por evasión tributaria."
#DEPORTES/POR ZONA DE CANDELA... Ver más,ZONA DE CANDELA... Ver más
"¡A LA FINAL! 
 El Chelsea derrotó al Fluminense con doblete de Joao Pedro y disputará el partido por el título del Mundial de Clubes.",¡A LA FINAL! El Chelsea derrotó al Fluminense con doblete de Joao Pedro y disputará el partido por el título del Mundial de Clubes.
... Ver más,... Ver más
"¡Dos jonrones robados en un mismo juego, pura defensa de élite!","¡Dos jonrones robados en un mismo juego, pura defensa de élite!"
"¡Dos robos, un mismo juego! Tatis Jr. y Merrill apagan fuegos desde el aire","¡Dos robos, un mismo juego! Tatis Jr. y Merrill apagan fuegos desde el aire"
P... Ver más,P... Ver más
"Que tragedia noticia para todo el mundo del deporte, a veces el público no nos fijamos a la hora de criticar a un jugador, comparar, ser racista sin saber que gran daño le están haciendo a un jugador. Por eso disfruten del deporte, de tener la oportunidad de ver jugar a grandes jugadores que el tiempo no perdona, y que en menos de un segundo ya no estén.","Que tragedia noticia para todo el mundo del deporte, a veces el público no nos fijamos a la hora de criticar a un jugador, comparar, ser racista sin saber que gran daño le están haciendo a un jugador. Por eso disfruten del deporte, de tener la oportunidad de ver jugar a grandes jugadores que el tiempo no perdona, y que en menos de un segundo ya no estén."
Que el Espíritu Santo consuele a toda la familia,Que el Espíritu Santo consuele a toda la familia
"Y se había casado hace 5 días ,","Y se había casado hace 5 días ,"
Qué tan miserable hay que ser para darle me divierte a esto? Descansa en paz crack,Qué tan miserable hay que ser para darle me divierte a esto? Descansa en paz crack
Increíble estoy shock aun no me lo creo,Increíble estoy shock aun no me lo creo
"Y duele más al pensar en sus padres que pierden a sus dos hijos de una manera trágica, los padres no están preparados para este dolor, una familia que no será la misma a partir de ahora. Triste noticia","Y duele más al pensar en sus padres que pierden a sus dos hijos de una manera trágica, los padres no están preparados para este dolor, una familia que no será la misma a partir de ahora. Triste noticia"
"Diogo, ése gesto que tuvo con nuestro compatriota Luis Díaz, cuando el secuestro de su Padre, que hiciste un gol con el Liverpool en Anfield y en vez de celebrarlo corrió hacia el banco del equipo para enseñar la camiseta # 7 del astro Colombiano en solidaridad con él, con eso te ganaste la ovación y admiración de toda Colombia y estoy seguro de que nuestro país siempre te va a recordar; Dios que mi Dios te acepte en su Santo Seno y te reciba en su Santa Gloria.
Paz a su espíritu y paz en su tumba","Diogo, ése gesto que tuvo con nuestro compatriota Luis Díaz, cuando el secuestro de su Padre, que hiciste un gol con el Liverpool en Anfield y en vez de celebrarlo corrió hacia el banco del equipo para enseñar la camiseta 7 del astro Colombiano en solidaridad con él, con eso te ganaste la ovación y admiración de toda Colombia y estoy seguro de que nuestro país siempre te va a recordar; Dios que mi Dios te acepte en su Santo Seno y te reciba en su Santa Gloria.
Paz a su espíritu y paz en su tumba"
Hay que funar a esos 3 que le pusieron me divierte.,Hay que funar a esos 3 que le pusieron me divierte.
Por otro lado la madre de los fallecidos perdió a 2 hijos de manera tan terrible,Por otro lado la madre de los fallecidos perdió a 2 hijos de manera tan terrible
"Increíble, doloroso para su familia. Pero embalarse a esas velocidades con tú hermano al lado y teniendo una familia (bebés) que te esperan ... Tiene que haber cierto nivel de inconsciencia. QEPD.","Increíble, doloroso para su familia. Pero embalarse a esas velocidades con tú hermano al lado y teniendo una familia bebés que te esperan ... Tiene que haber cierto nivel de inconsciencia. QEPD."
Muchas fortaleza a su familia que mi Dios los ayude los acompañe en este momento muy triste Dios me los bendiga,Muchas fortaleza a su familia que mi Dios los ayude los acompañe en este momento muy triste Dios me los bendiga
"A veces la vda suele ser difícil. No por que se es joven o viejo. Pero de algo si estamos seguros que de la muerte nadie nos salvamos venga como venga. El ser joven y con dinero puede ser un poco apresurado. E inmaduro. Claro no fue su culpa, de la suerte que tuvo en esta tierra de brillar. No es el primero ni el último solo que para muchos cuesta creerlo. Dios lo tenga en un lugar mejor. El es sabio y dueño de nuestras vidas en paz descanse.","A veces la vda suele ser difícil. No por que se es joven o viejo. Pero de algo si estamos seguros que de la muerte nadie nos salvamos venga como venga. El ser joven y con dinero puede ser un poco apresurado. E inmaduro. Claro no fue su culpa, de la suerte que tuvo en esta tierra de brillar. No es el primero ni el último solo que para muchos cuesta creerlo. Dios lo tenga en un lugar mejor. El es sabio y dueño de nuestras vidas en paz descanse."
De que murió que le pasó Dios lo tenga en su santo Reino,De que murió que le pasó Dios lo tenga en su santo Reino
"Lo triste de todo este suceso , son sus hijos que crecerán sin el cuidado y protección de su padre , que gran falta les hará ya que son pequeños todavía, pero sean grandes o pequeños e igual un papá o una mamá hace falta . Oremos por la esposa , que Dios le dé sabiduría para cuidar y guiarlos , a sus pequeños que puedan entender la ausencia de papá, gran trabajo para la madre . Descansa en paz Diego Jota y te fuiste con tu hermano","Lo triste de todo este suceso , son sus hijos que crecerán sin el cuidado y protección de su padre , que gran falta les hará ya que son pequeños todavía, pero sean grandes o pequeños e igual un papá o una mamá hace falta . Oremos por la esposa , que Dios le dé sabiduría para cuidar y guiarlos , a sus pequeños que puedan entender la ausencia de papá, gran trabajo para la madre . Descansa en paz Diego Jota y te fuiste con tu hermano"
"Y sólo Dios creador del Universo tiene la última palabra,en éste mundo
solo estamos de paso, solo Dios da y quita
. Una tragedia,solo resignación a la familia.","Y sólo Dios creador del Universo tiene la última palabra,en éste mundo
solo estamos de paso, solo Dios da y quita
. Una tragedia,solo resignación a la familia."
La vida es bella hermosa y también dolorosa y triste,La vida es bella hermosa y también dolorosa y triste
Dejaste tus niños pequeños una linda esposa lo siento mucho para sus familias un abrazo,Dejaste tus niños pequeños una linda esposa lo siento mucho para sus familias un abrazo
Dios les tiene en su Santa Gloria,Dios les tiene en su Santa Gloria
"Dios mio!!!! Que terrible noticia, mis condolencias a la madre que perdio dos hijos que Dios le de mucha fortaleza, igualmente a su esposa y madre de sus hijos y a toda su familia, no hay palabras que puedan aliviar tan profundo dolor. Que Dios los tenga en su gloria y brille para Diego Jota y Andre la luz perpetua!!!! Descansen en Paz!!!","Dios mio!!!! Que terrible noticia, mis condolencias a la madre que perdio dos hijos que Dios le de mucha fortaleza, igualmente a su esposa y madre de sus hijos y a toda su familia, no hay palabras que puedan aliviar tan profundo dolor. Que Dios los tenga en su gloria y brille para Diego Jota y Andre la luz perpetua!!!! Descansen en Paz!!!"
Por favor de que murió,Por favor de que murió
Dela vida y la muerte solo hay un paso en momentos hay cosas que uno no entiende son incógnitas y misterios que como humanos no alcanzamos a comprender solo Dios sabe el porqué y paraque hay que dejar en manos de Dios y el en su sabiduría sabrá darnos paz a nuestra vida que Dios bendiga Asus familia,Dela vida y la muerte solo hay un paso en momentos hay cosas que uno no entiende son incógnitas y misterios que como humanos no alcanzamos a comprender solo Dios sabe el porqué y paraque hay que dejar en manos de Dios y el en su sabiduría sabrá darnos paz a nuestra vida que Dios bendiga Asus familia
Que pasó???,Que pasó???
"Así es la vida del ser humano, hoy estamos y el mañana es incierto, fortaleza para la familia","Así es la vida del ser humano, hoy estamos y el mañana es incierto, fortaleza para la familia"
La vida es así a veces muy injusta pero es así DEP.,La vida es así a veces muy injusta pero es así DEP.
"Pobre mujer y sus hijos, cuanto dolor por la pérdida de Diogo","Pobre mujer y sus hijos, cuanto dolor por la pérdida de Diogo"
Sin palabras...,Sin palabras...
Que dolor para la familia que Dios consuele a los familiares,Que dolor para la familia que Dios consuele a los familiares
Descansa en paz Diogo,Descansa en paz Diogo
"Que triste
d esas que parten el alma","Que triste
d esas que parten el alma"
Pues así es la vida no somos dueños de nada en el mundo que hoy estamos mañana no sabemos por eso hay q vivirla y disfrutar cada minutos QEPD y cristiana esperanza a sus familiares,Pues así es la vida no somos dueños de nada en el mundo que hoy estamos mañana no sabemos por eso hay q vivirla y disfrutar cada minutos QEPD y cristiana esperanza a sus familiares
Que dolor!!,Que dolor!!
"Nooooooo
no puede ser , que noticia tan trágica","Nooooooo
no puede ser , que noticia tan trágica"
QEPD,QEPD
Des cansa en paz,Des cansa en paz
Fuerza para toda su familia,Fuerza para toda su familia
Descansen en paz los dis hermanos,Descansen en paz los dis hermanos
En qué club jugaba,En qué club jugaba
Que pena,Que pena
Qué pena,Qué pena
"QEPD..mucha fuerza a sus familiares y amigos,
Amen..","QEPD..mucha fuerza a sus familiares y amigos,
Amen.."
"Dios lo Acoja en su Gloria y descanse en Paz
,le de mucha fortaleza a su Familia","Dios lo Acoja en su Gloria y descanse en Paz
,le de mucha fortaleza a su Familia"
muyy doloroso qué descanse Paz en sus tumbas,muyy doloroso qué descanse Paz en sus tumbas
Mi más sentido pésame a la Familia D.E.P. Amén .,Mi más sentido pésame a la Familia D.E.P. Amén .
Que Dios lo tenga en su gloria y consuele a su familia.,Que Dios lo tenga en su gloria y consuele a su familia.
Dios bendiga su alma y su familia,Dios bendiga su alma y su familia
Descansa en paz campeón,Descansa en paz campeón
"Los que amamos el fútbol. No olvidaremos este crack descansa en Paz.
,","Los que amamos el fútbol. No olvidaremos este crack descansa en Paz.
,"
"No entiendo a las ""PERSONAS"" que le ponen me divierte, no se que es lo divertido ante semejante tragedia.ni un poco de respeto por sus seres queridos, la maldad e idiotes del ser humano.no tiene limites","No entiendo a las PERSONAS que le ponen me divierte, no se que es lo divertido ante semejante tragedia.ni un poco de respeto por sus seres queridos, la maldad e idiotes del ser humano.no tiene limites"
"Me levanto y lo primero que me encuentro es esto, descansen en paz Diogo Jota y André Silva","Me levanto y lo primero que me encuentro es esto, descansen en paz Diogo Jota y André Silva"
"Con que necesidad tenía que ir cagando en el auto? Cómo no penso un poco que a ciertas velocidades, por más que sea un Ferrari, no la contas. Una pena xq su inconsciencia dejo a tres nenes pequeños sin su papá","Con que necesidad tenía que ir cagando en el auto? Cómo no penso un poco que a ciertas velocidades, por más que sea un Ferrari, no la contas. Una pena xq su inconsciencia dejo a tres nenes pequeños sin su papá"
Mis condolencias para la familia! Descanse en paz,Mis condolencias para la familia! Descanse en paz
Que noticia tan triste no lo puedo creer descansa en paz,Que noticia tan triste no lo puedo creer descansa en paz
Dios lo tenga en su gloria,Dios lo tenga en su gloria
Que triste noticia,Que triste noticia
"Que pena, mis condolencias","Que pena, mis condolencias"
Mimas sentido pésame pará la familia D.E.P.,Mimas sentido pésame pará la familia D.E.P.
Descansen en paz,Descansen en paz
Dios les de fortaleza a sus padres y familias,Dios les de fortaleza a sus padres y familias
Que terrible que pena más grande 2 seres humano jóvenes se van de esa manera un día muy triste un abrazo a su familia..,Que terrible que pena más grande 2 seres humano jóvenes se van de esa manera un día muy triste un abrazo a su familia..
Q.E.P.D!!,Q.E.P.D!!
"Que el Señor Dios Grande y poderoso les de la consolación,la fuerza y sobre todo su paz para seguir.","Que el Señor Dios Grande y poderoso les de la consolación,la fuerza y sobre todo su paz para seguir."
"El Señor es el único que llena los vacíos del
Oración es la fuerza poderosa para enfrentar todo. Nuestro Dios y Señor es Bueno y fiel","El Señor es el único que llena los vacíos del
Oración es la fuerza poderosa para enfrentar todo. Nuestro Dios y Señor es Bueno y fiel"
Que en paz descanse,Que en paz descanse
QEPD....,QEPD....
"Que Dios lo reciba en su Santo Reino y le de consuelo a su familia, Amén.","Que Dios lo reciba en su Santo Reino y le de consuelo a su familia, Amén."
Qué pena,Qué pena
Lamento la pérdida,Lamento la pérdida
Mucha fortaleza a la familia.,Mucha fortaleza a la familia.
QDEP y resignación a su familia,QDEP y resignación a su familia
Rest in peace,Rest in peace
Que descanses en paz y Cristianas resignación para la familias,Que descanses en paz y Cristianas resignación para la familias
Descansa en paz Campeón,Descansa en paz Campeón
Muy triste consuelo para su esposo sus niños tan pequeños,Muy triste consuelo para su esposo sus niños tan pequeños
"Lo más lamentable
que puede pasar la perdida de un ser querido","Lo más lamentable
que puede pasar la perdida de un ser querido"
Dios lo tenga en su gloria,Dios lo tenga en su gloria
EPD,EPD
Muy lamentable paz a su alma,Muy lamentable paz a su alma
Que tristeza tan grande que Dios les de la conformidad,Que tristeza tan grande que Dios les de la conformidad
Qepd fortaleza para su familia,Qepd fortaleza para su familia
"Dios que tragedia para esta familia
.Que descansen en paz.Seran sus Angeles para su familia. Q.E.P.D","Dios que tragedia para esta familia
.Que descansen en paz.Seran sus Angeles para su familia. Q.E.P.D"
Que Dios lo tenga en su gloria tanto a Él como a su hermano. Fuerza para su hermosa familia!,Que Dios lo tenga en su gloria tanto a Él como a su hermano. Fuerza para su hermosa familia!
Mucha fuerza a la familia,Mucha fuerza a la familia
Dios lo tenga en su gloria descansa diego,Dios lo tenga en su gloria descansa diego
D.E.P,D.E.P
"QEPD junto a su hermano. Abrazo apretado a su señora, hijos y demás familia. Mucha fuerza para ellos. Abrazo desde Rocha, Uruguay.","QEPD junto a su hermano. Abrazo apretado a su señora, hijos y demás familia. Mucha fuerza para ellos. Abrazo desde Rocha, Uruguay."
Que tristeza,Que tristeza
Que triste,Que triste
Que tristeza por sus niños,Que tristeza por sus niños
EPD,EPD
"Dios mío, dale fuerza a su familia","Dios mío, dale fuerza a su familia"
"Caprichosa no,es muy p..","Caprichosa no,es muy p.."
"Qué triste, que pena","Qué triste, que pena"
"Descansa en paz Diogo Jota, diste mucha alegría en el futbol....","Descansa en paz Diogo Jota, diste mucha alegría en el futbol...."
Madre dé Dios que desgracia,Madre dé Dios que desgracia
"No puedo creer, Dios lo tenga en su santa gloria","No puedo creer, Dios lo tenga en su santa gloria"
Paz en su tumba. Fortaleza a la familia,Paz en su tumba. Fortaleza a la familia
Dios lo reciba en su gloria y le de luz perpetua,Dios lo reciba en su gloria y le de luz perpetua
Aque tristeza para toda su familia mucha fortaleza para todos ellos Dios les de fuerza mucha fortaleza q en paz descanse,Aque tristeza para toda su familia mucha fortaleza para todos ellos Dios les de fuerza mucha fortaleza q en paz descanse
EPD,EPD
MUY TRISTE NOTICIA....POBRECITOS!!!,MUY TRISTE NOTICIA....POBRECITOS!!!
Q.E.P.D...FUERZA A SUS FAMILIARES !!!,Q.E.P.D...FUERZA A SUS FAMILIARES !!!
Que fotografía tan bonita las cosas cosas que pueden de un día a otro Dios ayude a su familia,Que fotografía tan bonita las cosas cosas que pueden de un día a otro Dios ayude a su familia
Queeee tristeza. Fuerza a su familia,Queeee tristeza. Fuerza a su familia
"Que tristeza, esa familia tan pequeña!!","Que tristeza, esa familia tan pequeña!!"
Descansa en paz,Descansa en paz
"Dios Santo sin palabras, que tristeza.","Dios Santo sin palabras, que tristeza."
"D.E.P, mucho ánimo y fuetza a toda la familia!!","D.E.P, mucho ánimo y fuetza a toda la familia!!"
"Qué niños tan preciosos. El aliciente de esta Mamita que ahora mismo pasa por un momento muy pero muy doloroso. Le envío mis oraciones al Altísimo por ella y sus hijos para que el Señor los proteja, los consuele y les de la fortaleza que necesitan para seguir adelante en memoria de su padre y esposo. Bendiciones","Qué niños tan preciosos. El aliciente de esta Mamita que ahora mismo pasa por un momento muy pero muy doloroso. Le envío mis oraciones al Altísimo por ella y sus hijos para que el Señor los proteja, los consuele y les de la fortaleza que necesitan para seguir adelante en memoria de su padre y esposo. Bendiciones"
"La vida es efímera y muchas veces, es muy cruel e injusta
Que noticia más dolorosa","La vida es efímera y muchas veces, es muy cruel e injusta
Que noticia más dolorosa"
"Fue hace 10 días, no 5... Pero eso no importa ahora, los que amamos el fútbol estamos tristes
.","Fue hace 10 días, no 5... Pero eso no importa ahora, los que amamos el fútbol estamos tristes
."
Rip,Rip
Dios le reciba en su gloria eterna y le dé mucha fortaleza a su familia.,Dios le reciba en su gloria eterna y le dé mucha fortaleza a su familia.
"Mi Dios les conceda a tu familia, la fortaleza para afrontar éste duelo. Descansa en paz. Amén","Mi Dios les conceda a tu familia, la fortaleza para afrontar éste duelo. Descansa en paz. Amén"
"Un abrazo grande para su familia, su esposa y sus hijos, que Dios Todopoderoso los fortalezca y ponga paz en sus corazones.","Un abrazo grande para su familia, su esposa y sus hijos, que Dios Todopoderoso los fortalezca y ponga paz en sus corazones."
Y para las almas de estos hermanos les conceda el descanso eterno y brille para ellos la luz perpetua y descancen en la paz del Nuestro Señor Jesucristo Todopoderoso. Amén,Y para las almas de estos hermanos les conceda el descanso eterno y brille para ellos la luz perpetua y descancen en la paz del Nuestro Señor Jesucristo Todopoderoso. Amén
Que tragedia tan dolorosa fortaleza para su familia Paz en su tumba,Que tragedia tan dolorosa fortaleza para su familia Paz en su tumba
"A veces uno no entiende porque nos pasa cosas tan dolorosas como perder a un ser amado hasta ahora no lo entiendo
solo queda resignarnos a lo que no podemos entender","A veces uno no entiende porque nos pasa cosas tan dolorosas como perder a un ser amado hasta ahora no lo entiendo
solo queda resignarnos a lo que no podemos entender"
Horrible QEPD,Horrible QEPD
"Hay Dios mio que tragedia Que triste
noticia","Hay Dios mio que tragedia Que triste
noticia"
Que tristeza de no creer,Que tristeza de no creer
Dios bendiga a su esposa e hijos y Q.D.E.P.,Dios bendiga a su esposa e hijos y Q.D.E.P.
"Diogo Jota, ""You'll Never Walk Alone"". Nunca caminaras solo.","Diogo Jota, Youll Never Walk Alone. Nunca caminaras solo."
"Yo he escuchado casos por parte de personas cercanas, dónde hay una chica que aún vive, ella se ha casado en 2 ocasiones y a los pocos días sus esposos han muerto en accidentes no muy agradables y por motivos externos sin pensar que los ha provocado ella... ¿Es una especie de maldición para esta mujer?","Yo he escuchado casos por parte de personas cercanas, dónde hay una chica que aún vive, ella se ha casado en 2 ocasiones y a los pocos días sus esposos han muerto en accidentes no muy agradables y por motivos externos sin pensar que los ha provocado ella... ¿Es una especie de maldición para esta mujer?"
"DEP No hay palabras..... que injusta es la vida.,.","DEP No hay palabras..... que injusta es la vida.,."
D.E.P. DIOS LE DÉ EL DESCANSO ETERNO Y FORTALEZA A SUS FAMILIARES. BENDICIONES,D.E.P. DIOS LE DÉ EL DESCANSO ETERNO Y FORTALEZA A SUS FAMILIARES. BENDICIONES
Que triste Dios mío fortaleza para la familia,Que triste Dios mío fortaleza para la familia
A veces la vida es muy injusta...,A veces la vida es muy injusta...
Descansa en paz,Descansa en paz
La vida la vivimos siempre al máximo y es lo menos que nos pertenece Dios les conceda a toda su estimable familia mucha fortaleza y paz en estos momentos tan difíciles y a Diogo y su hermano la Vida Eterna en Jesucristo nuestro Salvador.,La vida la vivimos siempre al máximo y es lo menos que nos pertenece Dios les conceda a toda su estimable familia mucha fortaleza y paz en estos momentos tan difíciles y a Diogo y su hermano la Vida Eterna en Jesucristo nuestro Salvador.
"Que pena más grande,mucha fuerza para toda su familia","Que pena más grande,mucha fuerza para toda su familia"
